,citation_author,citation_author_institution,citation_publication_date,citation_title,dc.description,dc.publisher,dc.subject,dc.type,url,accesses,citations
0,Shankha Chakraborty/Mausumi Das,"Department of Economics, University of Oregon, Eugene, USA/Department of Economics, Delhi School of Economics, University of Delhi, Delhi, India",2005/06,"Mortality, Human Capital and Persistent Inequality","Available evidence suggests high intergenerational correlation of economic status and persistent disparities in health status between the rich and the poor. This paper proposes a mechanism linking the two. We introduce health capital into a two-period overlapping generations model. Private health investment improves the probability of surviving from the first period of life to the next and, along with education, enhances an individual’s labor productivity. Poorer parents are of poor health, unable to invest much in reducing mortality risk and improving their human capital. Consequently, they leave less for their progeny. Despite convex preferences and technologies, initial differences in economic and health status may perpetuate across generations when annuities markets are imperfect.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-1670-5,    557 ,   58 
0,Thorsten Beck/Asli Demirguc-Kunt/Ross Levine,"The World Bank, Washington, USA/The World Bank, Washington, USA/Department of Economics, Brown University, The NBER",2005/09,"SMEs, Growth, and Poverty: Cross-Country Evidence","This paper explores the relationship between the relative size of the Small and Medium Enterprise (SME) sector, economic growth, and poverty alleviation using a new database on the share of SME labor in the total manufacturing labor force. Using a sample of 45 countries, we find a strong, positive association between the importance of SMEs and GDP per capita growth. The data do not, however, confidently support the conclusions that SMEs exert a causal impact on growth. Furthermore, we find no evidence that SMEs alleviate poverty or decrease income inequality.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-3533-5,    4357 ,   207 
0,Josef Falkinger/Volker Grossmann,"CESifo, Munich Institute for the Study of Labor, Bonn Socioeconomic Institute, University of Zurich, Zürich, Switzerland/CESifo, Munich Institute for the Study of Labor, Bonn Socioeconomic Institute, University of Zurich, Zürich, Switzerland",2005/09,Institutions and Development: The Interaction Between Trade Regime and Political System,"This paper argues that an unequal distribution of political power, biased to landed elites and owners of natural resources, in combination with openness to trade is a major obstacle to development of natural resource- or land-abundant economies. We develop a two-sector general equilibrium model and show that in an oligarchic society public investments conducive to industrialization. schooling for example.are typically lower in an open than in a closed economy. Moreover, we find that, under openness to trade, development is faster in a democratic system. We also endogenize the trade regime and demonstrate that in a land-abundant economy the landed elite has an interest to support openness to trade. We present historical evidence for Southern economies in the Americas that is consistent with our theoretical results: Resistance of landed elites to mass education, comparative advantages in primary goods production in the 19th century globalization wave, and low primary school enrollment and literacy rates.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-3534-4,    387 ,   16 
0,Sarah Voitchovsky,"Department of Economics, University of Oxford, Oxford, UK",2005/09,Does the Profile of Income Inequality Matter for Economic Growth?,"This paper investigates the importance of the shape of the income distribution as a determinant of economic growth in a panel of countries. Using comparable data on disposable income from the Luxembourg Income Study, results suggest that inequality at the top end of the distribution is positively associated with growth, while inequality lower down the distribution is negatively related to subsequent growth. These findings highlight potential limitations of an exploration of the impact of income distribution on growth using a single inequality statistic. Such specifications may capture an average effect of inequality on growth, and mask the underlying complexity of the relationship.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-3535-3,    2026 ,   136 
0,Ricardo Hausmann/Lant Pritchett/Dani Rodrik,"John F. Kennedy School of Government, Harvard University, USA/The World Bank, USA/John F. Kennedy School of Government, Harvard University, USA",2005/12,Growth Accelerations,"Unlike most cross country growth analyses, we focus on turning points in growth performance. We look for instances of rapid acceleration in economic growth that are sustained for at least 8 years and identify more than 80 such episodes since the 1950s. Growth accelerations tend to be correlated with increases in investment and trade, and with real exchange rate depreciations. Political-regime changes are statistically significant predictors of growth accelerations. External shocks tend to produce growth accelerations that eventually fizzle out, while economic reform is a statistically significant predictor of growth accelerations that are sustained. However, growth accelerations tend to be highly unpredictable: the vast majority of growth accelerations are unrelated to standard determinants and most instances of economic reform do not produce growth accelerations.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-4712-0,    2910 ,   389 
0,Enrico Spolaore/Romain Wacziarg,"Department of Economics, Tufts University, Medford, USA/Stanford Graduate School of Business, Stanford, USA",2005/12,Borders and Growth,"This paper presents a framework to understand and measure the effects of political borders on economic growth and per capita income levels. In our model, political integration between two countries results in a positive country size effect and a negative effect through reduced openness vis-à-vis the rest of the world. Additional effects stem from possible changes in other growth determinants, besides country size and openness, when countries are merged. We estimate the growth effects that would have resulted from the hypothetical removal of national borders between pairs of adjacent countries under various scenarios. We identify country pairs where political integration would have been mutually beneficial. We find that full political integration would have slightly reduced an average country's growth rate, while most countries would benefit from a more limited form of merger, involving higher economic integration with their neighbors.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-4719-6,    365 ,   42 
0,Gavin Cameron,"Department of Economics, University of Oxford, UK",2005/12,The Sun Also Rises: Productivity Convergence Between Japan and the USA,"The growth process for a technological leader is different from that of a follower. While followers can grow through imitation and capital deepening, a leader must undertake original research. This suggests that as the gap between the leader and the follower narrows, the follower must undertake more genuinely innovative R&amp;D and possibly face a slower overall growth rate. The results of a dynamic panel equilibrium-correction model of productivity growth suggest that the productivity gap with the USA had a strong effect on the growth of Japanese manufacturing, and that changes in R&amp;D intensity also made a significant contribution. Moreover, the effect of the productivity gap was significantly higher in industries that had higher R&amp;D intensities, higher levels of human capital, and were more open to exports.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-4735-6,    295 ,   13 
0,,,2005/12,Journal of Economic Growth,,Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-005-6003-1,    355 ,   0 Altmetric   Metrics details    
0,Bryan S. Graham/Jonathan R. W. Temple,"Department of Economics, University of California — Berkeley, Berkeley, USA/Department of Economics, University of Bristol, Bristol, UK",2006/03,"Rich Nations, Poor Nations: How Much Can Multiple Equilibria Explain?","This paper asks whether the income gap between rich and poor nations can be explained by multiple equilibria. We explore the quantitative implications of a simple two-sector general equilibrium model that gives rise to multiplicity, and calibrate the model for 127 countries. Under the assumptions of the model, around a quarter of the world’s economies are found to be in a low output equilibrium. We also find that, since the output gains associated with an equilibrium switch are sizeable, the model can explain between 15 and 25% of the variation in the logarithm of GDP per worker across countries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-7404-5,    823 ,   55 
0,Graziella Bertocchi,"Dipartimento di Economia Politica, Universita’ di Modena e Reggio Emilia, CEPR and IZA, Modena, Italy",2006/03,The Law of Primogeniture and the Transition from Landed Aristocracy to Industrial Democracy,"We study the connection between inheritance systems and the historical evolution of the relationship between a society’s economic structure and its political system, with a focus on Europe from feudal times. The model predicts that, in an early agrarian phase, aristocratic political systems prevail, while democracies tend to emerge with industrialization. At the same time, as indivisible landed estates are replaced by capital as the primary source of wealth, the inheritance system evolves endogenously from primogeniture to partition. The dynamics of output, distribution, class structure and political participation are in turn reinforced by the system of intergenerational wealth transmission, with primogeniture tending to concentration and partition to equalization.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-7405-4,    494 ,   41 
0,Garett Jones/W. Joel Schneider,"Department of Economics and Finance, Southern Illinois University, Edwardsville, USA/Department of Psychology, Illinois State University, Normal, USA",2006/03,"Intelligence, Human Capital, and Economic Growth: A Bayesian Averaging of Classical Estimates (BACE) Approach","Human capital plays an important role in the theory of economic growth, but it has been difficult to measure this abstract concept. We survey the psychological literature on cross-cultural IQ tests and conclude that intelligence tests provide one useful measure of human capital. Using a new database of national average IQ, we show that in growth regressions that include only robust control variables, IQ is statistically significant in 99.8% of these 1330 regressions, easily passing a Bayesian model-averaging robustness test. A 1 point increase in a nation’s average IQ is associated with a persistent 0.11% annual increase in GDP per capita.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-7407-2,    858 ,   132 
0,Jérôme Vandenbussche/Philippe Aghion/Costas Meghir,"International Monetary Fund, Washington, USA/IFS and CEPR, Harvard University, Cambridge, USA/IFS, CEPR and IZA, University College London, London, UK",2006/06,"Growth, distance to frontier and composition of human capital","We examine the contribution of human capital to economy-wide technological improvements through the two channels of innovation and imitation. We develop a theoretical model showing that skilled labor has a higher growth-enhancing effect closer to the technological frontier under the reasonable assumption that innovation is a relatively more skill-intensive activity than imitation. Also, we provide evidence in favor of this prediction using a panel dataset covering 19 OECD countries between 1960 and 2000 and explain why previous empirical research had found no positive relationship between initial schooling level and subsequent growth in rich countries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9002-y,    2280 ,   327 
0,William Easterly/Roberta Gatti/Sergio Kurlat,"New York University, New York, USA/Development Research Group, The World Bank, and CEPR, Washington, USA/Development Research Group, The World Bank, Washington, USA",2006/06,"Development, democracy, and mass killings","Using a newly assembled dataset spanning from 1820 to 1998, we study the relationship between the occurrence and magnitude of episodes of mass killing and the levels of development and democracy across countries and over time. Mass killings appear to be more likely at intermediate levels of income and less likely at very high levels of democracy. However, the estimated relationship between democracy and probability of mass killings is not linear in the full sample. In the XXth century, discrete improvements in democracy are systematically associated with episodes involving fewer victims.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9001-z,    428 ,   30 
0,Thorsten Beck/Luc Laeven,"The World Bank, Washington, USA/International Monetary Fund, Washington, USA/CEPR, London, UK",2006/06,Institution building and growth in transition economies,"Drawing on the recent literature on economic institutions and the origins of economic development, we offer a political economy explanation of why institution building has varied so much across transition economies. We identify dependence on natural resources and the historical experience of these countries during socialism as major determinants of institution building during transition. Using natural resource reliance and the years under socialism to extract the exogenous component of institution building, we also show the importance of institutions in explaining the variation in economic development and growth across transition economies during the first decade of transition.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9000-0,    1079 ,   93 
0,Jonathan Temple/Ludger Wößmann,"Department of Economics, University of Bristol, Bristol, UK/CEPR, London, UK/Ifo Institute for Economic Research, Munich, Germany/Ludwig-Maximilians-University Munich, Munich, Germany/CESifo, Munich, Germany",2006/09,Dualism and cross-country growth regressions,"This paper develops empirical growth models suitable for dual economies, and studies the relationship between structural change and economic growth. Changes in the structure of employment will raise aggregate productivity when the marginal product of labor varies across sectors. The models in the paper incorporate this effect in a more flexible way than previous work. Estimates of the models imply sizeable marginal product differentials, and indicate that the reallocation of labor makes a significant contribution to the international variation in productivity growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9003-x,    1003 ,   64 
0,William Lord/Peter Rangazas,"Department of Economics, University of Maryland, Baltimore County, Baltimore, USA/Department of Economics, IUPUI, Indianapolis, USA",2006/09,Fertility and development: the roles of schooling and family production,"This paper presents a quantitative theory of development that highlights three mechanisms that relate schooling, fertility, and growth. First, we point out that in the early stages of development, fertility and schooling may rise together as the schooling of younger children increases their relative contribution to family income when they turn working age. Second, the model contains a supply-side theory of schooling that generates a rise in schooling independent of technological change. Third, we introduce a direct negative effect of industrialization on fertility that does not operate through human capital and the quantity-quality tradeoff. An initial quantitative assessment of the theoretical mechanisms is conducted by calibrating and applying the model to United States history from 1800 to 2000. We find that the demise in family production is an important factor reducing fertility in the 19th century and schooling of older children is dominant factor reducing fertility in the 20th century. The same model is applied to England from 1740 to 1940, where we offer two complimentary explanations for the rise in fertility from 1740 to 1820. The first is based on the rapid expansion in the cottage industry and the second on the increased relative productivity of children. We also find that the subsequent fall in fertility from 1820 to 1940 cannot be explained without introducing child labor/compulsory schooling laws.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9005-8,    275 ,   18 
0,Christopher A. Laincz/Pietro F. Peretto,"Department of Economics, LeBow College of Business, Drexel University, Philadelphia, USA/Department of Economics, Duke University, Durham, USA",2006/09,Scale effects in endogenous growth theory: an error of aggregation not specification,"Modern Schumpeterian growth theory focuses on the product line as the main locus of innovation and exploits endogenous product proliferation to sterilize the scale effect. The empirical core of this theory consists of two claims: (i) growth depends on average employment (i.e., employment per product line); (ii) average employment is scale invariant. We show that data on employment, R&amp;D personnel, and the number of establishments in the US for the period 1964–2001 provide strong support for these claims. While employment and the total number of R&amp;D workers increase with no apparent matching change in the long-run trend of productivity growth, employment and R&amp;D employment per establishment exhibit no long-run trend. We also document that the number of establishments, employment and population exhibit a positive trend, while the ratio employment/establishment does not. Finally, we provide results of time series tests consistent with the predictions of these models.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9004-9,    532 ,   82 
0,William Easterly,"New York University, New York, USA",2006/12,"Reliving the 1950s: the big push, poverty traps, and takeoffs in economic development","The classic narrative of economic development—poor countries are caught in poverty traps, out of which they need a Big Push involving increased investment, leading to a takeoff in per capita income—has been very influential in foreign aid debates since the 1950s. This was the original justification for foreign aid. The narrative lost credibility for a while but has made a big comeback in the new millennium. Once again it is invoked as a rationale for large foreign aid programs. This paper applies very simple tests to the various elements of the narrative. Evidence to support the narrative is scarce. Poverty traps in the sense of zero growth for low-income countries are rejected by the data in the whole period 1950–2001 and for most sub-periods. The poorest quintile also does not have significant negative growth of the relative income ratio to the world’s richest country over 1950–2001, nor is relative growth for the lowest quintile significantly different than other quintiles. The claim that “well-governed poor nations” are caught in poverty traps is rejected by simple regressions that control for both initial income and quality of government (instrumenting for the latter). The idea of the takeoff also does not garner much support in the data. Takeoffs are rare in the data, most plausibly limited to the Asian success stories. Even then, the takeoffs are not associated with aid, investment, or education spending as the standard narrative would imply.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9006-7,    2701 ,   81 
0,Nico Voigtländer/Hans-Joachim Voth,"Economics Department, Universitat Pompeu Fabra, Barcelona, Spain/ICREA and Economics Department, Universitat Pompeu Fabra, Barcelona, Spain",2006/12,"Why England? Demographic factors, structural change and physical capital accumulation during the Industrial Revolution","Why did England industrialize first? And why was Europe ahead of the rest of the world? Unified growth theory in the tradition of Galor and Weil (2000, American Economic Review, 89, 806–828) and Galor and Moav (2002, Quartely Journal of Economics, 177(4), 1133–1191) captures the key features of the transition from stagnation to growth over time. Yet we know remarkably little about why industrialization occurred much earlier in some parts of the world than in others. To answer this question, we present a probabilistic two-sector model where the initial escape from Malthusian constraints depends on the demographic regime, capital deepening and the use of more differentiated capital equipment. Weather-induced shocks to agricultural productivity cause changes in prices and quantities, and affect wages. In a standard model with capital externalities, these fluctuations interact with the demographic regime and affect the speed of growth. Our model is calibrated to match the main characteristics of the English economy in 1700 and the observed transition until 1850. We capture one of the key features of the British Industrial Revolution emphasized by economic historians — slow growth of output and productivity. Fertility limitation is responsible for higher per capita incomes, and these in turn increase industrialization probabilities. The paper also explores the availability of nutrition for poorer segments of society. We examine the influence of redistributive institutions such as the Old Poor Law, and find they were not decisive in fostering industrialization. Simulations using parameter values for other countries show that Britain’s early escape was only partly due to chance. France could have moved out of agriculture and into manufacturing faster than Britain, but the probability was less than 25%. Contrary to recent claims in the literature, 18th century China had only a minimal chance to escape from Malthusian constraints.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9007-6,    2445 ,   61 
0,Moshe Hazan/Hosny Zoabi,"Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel/Department of Economics, European University Institute, San Domenico di, Fiesole (FI), Italy",2006/12,Does longevity cause growth? A theoretical critique,"This paper challenges conventional wisdom by arguing that greater longevity may have contributed less than previously thought for the significant accumulation of human capital during the transition from stagnation to growth. This is because when parents make choices over the quantity and quality of their offspring, greater longevity positively affects not only the returns to quality but also the returns to quantity. The theory suggests that in contrast to longevity, improvements in health are more likely to generate quantity quality tradeoff. Finally, it shows the importance of controlling for fertility when empirically examining the impact of children’s health on their education.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9008-5,    550 ,   77 
0,Ricardo Hausmann/Jason Hwang/Dani Rodrik,"John F. Kennedy School of Government, Harvard University, Cambridge, USA/Department of Economics, Harvard University, Cambridge, USA/John F. Kennedy School of Government, Harvard University, Cambridge, USA",2007/03,What you export matters,"When local cost discovery generates knowledge spillovers, specialization patterns become partly indeterminate and the mix of goods that a country produces may have important implications for economic growth. We demonstrate this proposition formally and adduce some empirical support for it. We construct an index of the “income level of a country’s exports,” document its properties, and show that it predicts subsequent economic growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-006-9009-4,    7608 ,   738 
0,Thorsten Beck/Asli Demirgüç-Kunt/Ross Levine,"The World Bank, Washington, USA/The World Bank, Washington, USA/Department of Economics, Brown University, Providence, USA/National Bureau of Economic Research(NBER), Combridge, USA",2007/03,"Finance, inequality and the poor","Financial development disproportionately boosts incomes of the poorest quintile and reduces income inequality. About 40% of the long-run impact of financial development on the income growth of the poorest quintile is the result of reductions in income inequality, while 60% is due to the impact of financial development on aggregate economic growth. Furthermore, financial development is associated with a drop in the fraction of the population living on less than $ 1 a day, a result which holds when conditioning on average growth. These findings emphasize the importance of the financial system for the poor.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9010-6,    4954 ,   537 
0,Daniel Cohen/Marcelo Soto,"Paris School of Economics, OECD Development Centre and CEPR, Paris, France/Instituto de Análisis Económico Campus UAB, Bellaterra, Barcelona, Spain",2007/03,"Growth and human capital: good data, good results","We present a new data set for years of schooling across countries for the 1960–2000 period. The series are constructed from the OECD database on educational attainment and from surveys published by UNESCO. Two features that improve the quality of our data with respect to other series, particularly for series in first-differences, are the use of surveys based on uniform classification systems of education over time, and an intensified use of information by age groups. As a result of the improvement in quality, these new series can be used as a direct substitute for Barro and Lee’s (2001; Oxford Economic Papers, 3, 541–563) data in empirical research. In standard cross-country growth regressions we find that our series yield significant coefficients for schooling. In panel data estimates our series are also significant even when the regressions account for the accumulation of physical capital. Moreover, the estimated macro return is consistent with those reported in labour studies. These results differ from the typical findings of the earlier literature and are a consequence of the reduction in measurement error in the series.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9011-5,    3835 ,   423 
0,Chad Turner/Robert Tamura/Sean E. Mulholland/Scott Baier,"Nicholls State University, Thibodaux, USA/Clemson University, Clemson, USA/Atlanta Federal Reserve Bank, Atlanta, USA/Mercer College, Macon, USA/Clemson University, Clemson, USA/Atlanta Federal Reserve Bank, Atlanta, USA",2007/06,Education and income of the states of the United States: 1840–2000,"This article introduces original annual average years of schooling measures for each state from 1840 to 2000. Our methodology results in state estimates similar to those reported in the United States Census from 2000 back to 1940 and national, turn of the century estimates strikingly close to those presented by Schultz (Schultz, T. (1961). In N. B. Henry (Ed.), Social forces influencing American education. Chicago: University of Chicago Press.) and Fishlow (Fishlow, A. (1966). In H. Rosovsky (Ed.), Industrialization in two systems. John Wiley &amp; Sons). To further determine the validity of our state schooling estimates, we first combine original data on real state per worker output with existing data to provide a more comprehensive series of real state output per worker from 1840 to 2000. We then estimate aggregate Mincerian earnings regressions and discover that the return to a year of schooling for the average individual in a state ranges from 11% to 15%. This range is robust to various time periods, various estimation methods, various assumptions about the endogeneity of schooling and is in line with the body of evidence from the labor literature.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9016-0,    586 ,   49 
0,Edward L. Glaeser/Giacomo A. M. Ponzetto/Andrei Shleifer,"Harvard University and NBER, Cambridge, USA/Department of Economics, Harvard University, Cambridge, USA/Harvard University and NBER, Cambridge, USA/Department of Economics, Harvard University, Cambridge, USA",2007/06,Why does democracy need education?,"Across countries, education and democracy are highly correlated. We motivate empirically and then model a causal mechanism explaining this correlation. In our model, schooling teaches people to interact with others and raises the benefits of civic participation, including voting and organizing. In the battle between democracy and dictatorship, democracy has a wide potential base of support but offers weak incentives to its defenders. Dictatorship provides stronger incentives to a narrower base. As education raises the benefits of civic engagement, it raises participation in support of a broad-based regime (democracy) relative to that in support of a narrow-based regime (dictatorship). This increases the likelihood of successful democratic revolutions against dictatorships, and reduces that of successful anti-democratic coups.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9015-1,    3880 ,   243 
0,Kieran McQuinn/Karl Whelan,"Central Bank and Financial Services Authority of Ireland, Dublin, Ireland/Central Bank and Financial Services Authority of Ireland, Dublin, Ireland",2007/06,Conditional convergence and the dynamics of the capital-output ratio,"Output per worker can be expressed as a function of technological efficiency and of the capital-output ratio. Because technology is exogenous in the Solow model, all of the endogenous convergence dynamics take place through the adjustment of the capital-output ratio. This paper uses the empirical behavior of the capital-output ratio to estimate the speed of conditional convergence of economies towards their steady-state paths. We find that the conditional convergence speed is about seven percent per year. This is somewhat faster than predicted by the Solow model and is significantly higher than reported in most previous studies based on output per worker regressions. We show that, once there are stochastic shocks to technology, standard panel econometric techniques produce downward-biased estimates of convergence speeds, while our approach does not.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9013-3,    426 ,   20 
0,Nicola Gennaioli/Ilia Rainer,"Institute of International Economic Studies, Stockholm University, Stockholm, Sweden/George Mason University, Fairfax, USA",2007/09,The modern impact of precolonial centralization in Africa,"We empirically assess the possibility, stressed by African scholars, that stronger precolonial political institutions allowed colonial and postcolonial African governments to better implement modernization programs in rural areas. Using anthropological data, we document a strong positive association between the provision of public goods such as education, health, and infrastructure in African countries and the centralization of their ethnic groups’ precolonial institutions. We develop an empirical test to distinguish among alternative explanations for this finding. The evidence supports the view that precolonial centralization improved public goods provision by increasing the accountability of local chiefs. Our results stress the importance for developing countries to create mechanisms to monitor local administrators of public projects. These mechanisms should be consistent with these countries’ preexisting and informal arrangements.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9017-z,    2030 ,   181 
0,John Hassler/José V. Rodríguez Mora/Joseph Zeira,"Institute for International Economics Studies (IIES), Stockholm University, Stockholm, Sweden/Centre for Economic Policy Research, London, UK/Centre for Economic Policy Research, London, UK/University of Southampton, Southampton, UK/Universitat Pompeu Fabra, Barcelona, Spain/University of Edinburgh, Edinburgh, UK/Centre for Economic Policy Research, London, UK/Hebrew University of Jerusalem, Jerusalem, Israel",2007/09,Inequality and mobility,"Acknowledging that wage inequality and intergenerational mobility are strongly interrelated, this paper presents a model in which both are jointly determined. The model enables us to study how inequality and mobility are affected by exogenous changes and what determines their correlation. A main implication of the model is that differences in the amount of public subsidies to education and educational quality produce cross-country patterns with a negative correlation between inequality and mobility. Differences in the labor market, like differences in skill-biased technology or wage compression instead produce a positive correlation. The predictions of the model are found to be consistent with various empirical observations on mobility and inequality.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9019-x,    799 ,   26 
0,Joshua Aizenman/Ilan Noy,"Economics Department and the NBER, UC Santa Cruz, Santa Cruz, USA/Economics Department, University of Hawaii, Honolulu, USA",2007/09,"Prizes for basic research: Human capital, economic might and the shadow of history","We study the distribution of basic scientific research across countries and time, and explain the process that resulted in the United States becoming the undisputed leader in basic research. Our study is based on the records of scientific awards, and on the data of global economic trends. We investigate the degree to which scale/threshold effects account for the number of prizes won. We constructed a stylized model, predicting a non-linear relationship with lagged relative GDP as an important explanatory variable of a country’s share of prizes. Our empirical research findings find support for these predictions and the presence of a “winner-takes-all” effect.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9018-y,    187 ,   5 
0,Alwyn Young,"London School of Economics, London, UK",2007/12,In sorrow to bring forth children: fertility amidst the plague of HIV,"The HIV epidemic is lowering fertility in sub-Saharan Africa. This decline in fertility appears to reflect a fall in the demand for children, and not any adverse physiological consequences of the disease, as it is matched by changes in the expressed preference for children and the use of contraception, and is not significantly correlated with biological markers of sub-fecundity. A fall in fertility lowers dependency ratios and, for a given savings rate, increases future capital per person. These two effects more than offset the loss of prime working age adults and reduced human capital of orphaned children brought by the epidemic, allowing 27 of the nations of sub-Saharan Africa to cumulatively spend US$ 650 billion, or $5100 per dying adult AIDS victim, on patient care without harming the welfare of future generations. In sum, the behavioral response to the HIV epidemic creates the material resources to fight it.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9021-3,    282 ,   35 
0,Pietro F. Peretto/Michelle Connolly,"Department of Economics, Duke University, Durham, USA/Department of Economics, Duke University, Durham, USA",2007/12,The Manhattan Metaphor,"Fixed operating costs draw a sharp distinction between endogenous growth based on horizontal and vertical innovation: a larger number of product lines puts pressure on an economy’s resources; greater productivity of existing product lines does not. Consequently, the only plausible engine of endogenous growth is vertical innovation whereby progress along the quality or cost ladder does not require the replication of fixed costs. Is, then, product variety expansion irrelevant? No. The two dimensions of technology are complementary in that using one and the other produces a more comprehensive theory of economic growth. The vertical dimension allows endogenous growth unconstrained by endowments, the horizontal provides the mechanism that translates changes in aggregate variables into changes in product-level variables, which ultimately drive incentives to push the technological frontier in the vertical dimension. We show that the potential for exponential growth due to an externality that makes entry costs fall linearly with the number of products, combined with the limited carrying capacity of the system due to fixed operating costs, yields logistic dynamics for the number of products. This desirable property allows us to provide a closed-form solution for the model’s transition path and thereby derive analytically the welfare effects of changes in parameters and policy variables. Our Manhattan Metaphor illustrates conceptually why we obtain this mathematical representation when we simply add fixed operating costs to the standard modeling of variety expansion.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9023-1,    330 ,   56 
0,Javier A. Birchenall,"Department of Economics, 2127 North Hall University of California at Santa Barbara, Santa Barbara, USA",2007/12,Escaping high mortality,"This paper develops an economic analysis of mortality to account for the mortality decline during the demographic transition. We propose a unified growth model in which there is intra- and intergenerational health transmission: parental health affects child survival and investments in early life improve health over the entire life-cycle. Based on data from England and Wales between 1640 and 2000, we show that the role of economic changes in mortality is larger than previously estimated. As in current estimates, contemporary income has a minor impact on mortality change. Most of the economic influences, however, are unaccounted for by contemporary relationships.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/s10887-007-9022-2,    209 ,   12 
